substance,total_value,percentage
PFOS,7390123.273594987,53.459254420765845
PFOA,2065333.3903060013,14.940370963847396
PFHxA,891236.7866280006,6.447098696679094
PFDA,679426.3959999996,4.914888049800965
Autres,656182.9697870002,4.746747926892491
PFDoDA,638259.621,4.617092598097108
PFHxS,531810.856858,3.84705516375875
PFTrDA,325935.7,2.357779277291301
PFNA,270460.3001929998,1.9564769711481111
Perfluoroundecanesulfonic acid,228024.8,1.649503715452138
"1-Heptanesulfonic acid, pentadecafluoro- (6CI)",147048.66900000029,1.0637322162667924
