region,total_value,nb_pfas,nb_producteur,nb_utilisateurs
Auvergne-Rhône-Alpes,3715864.990000029,18654,2,16
Bourgogne-Franche-Comté,1220125.6399999976,8424,1,2
Bretagne,951695.1,2471,NA,NA
Centre-Val de Loire,850524.5000000001,6609,NA,2
Corse,504.7,105,NA,NA
Grand Est,467937.653999996,31031,NA,8
Guadeloupe,395.5,10,NA,NA
Guyane,927.5,19,NA,NA
Hauts-de-France,190569.30000000057,13190,1,6
La Réunion,5478.000000000001,813,NA,NA
Martinique,4250.1,68,NA,NA
Normandie,190316.12000000183,12234,NA,2
Nouvelle-Aquitaine,1573404.6850000003,4247,NA,4
Occitanie,2065859.4722760017,7838,1,2
Pays de la Loire,907851.4072119994,4472,NA,NA
Provence-Alpes-Côte d'Azur,1054183.219999997,7709,NA,2
Île-de-France,609441.5748789933,21860,NA,10
